,Day-ahead price [EUR/MWh],datetime
2021-10-01 01:00:00+02:00,67.07,2021-10-01 01:00:00+02:00
2021-10-01 02:00:00+02:00,59.66,2021-10-01 02:00:00+02:00
2021-10-01 03:00:00+02:00,47.94,2021-10-01 03:00:00+02:00
2021-10-01 04:00:00+02:00,54.52,2021-10-01 04:00:00+02:00
2021-10-01 05:00:00+02:00,64.88,2021-10-01 05:00:00+02:00
2021-10-01 06:00:00+02:00,104.9,2021-10-01 06:00:00+02:00
2021-10-01 07:00:00+02:00,131.12,2021-10-01 07:00:00+02:00
2021-10-01 08:00:00+02:00,142.05,2021-10-01 08:00:00+02:00
2021-10-01 09:00:00+02:00,107.95,2021-10-01 09:00:00+02:00
2021-10-01 10:00:00+02:00,82.57,2021-10-01 10:00:00+02:00
2021-10-01 11:00:00+02:00,79.9,2021-10-01 11:00:00+02:00
2021-10-01 12:00:00+02:00,65.29,2021-10-01 12:00:00+02:00
2021-10-01 13:00:00+02:00,52.02,2021-10-01 13:00:00+02:00
2021-10-01 14:00:00+02:00,89.9,2021-10-01 14:00:00+02:00
2021-10-01 15:00:00+02:00,90.21,2021-10-01 15:00:00+02:00
2021-10-01 16:00:00+02:00,123.58,2021-10-01 16:00:00+02:00
2021-10-01 17:00:00+02:00,158.81,2021-10-01 17:00:00+02:00
2021-10-01 18:00:00+02:00,183.27,2021-10-01 18:00:00+02:00
2021-10-01 19:00:00+02:00,194.09,2021-10-01 19:00:00+02:00
2021-10-01 20:00:00+02:00,199.9,2021-10-01 20:00:00+02:00
2021-10-01 21:00:00+02:00,185.0,2021-10-01 21:00:00+02:00
2021-10-01 22:00:00+02:00,205.0,2021-10-01 22:00:00+02:00
2021-10-01 23:00:00+02:00,217.0,2021-10-01 23:00:00+02:00
2021-10-02 00:00:00+02:00,115.02,2021-10-02 00:00:00+02:00
2021-10-02 01:00:00+02:00,105.32,2021-10-02 01:00:00+02:00
2021-10-02 02:00:00+02:00,106.44,2021-10-02 02:00:00+02:00
